Упражнение,гантели,штанга,тренажеры,"передняя
 дельта","средняя
дельта","задняя 
дельта",трапеции,ромбовидные,бицепс,трицепс,"большая 
грудная","средняя 
грудная","малая
грудная",предплечье,широчайшая,"прямая
мышца
живота","наружные
косые
мышцы","внутренние
косые 
мышцы","поперечные
мышцы","прямая
мышца
бедра",квадрицепс,"бицепс
бедра","большая
ягодичная","средняя
ягодичная","малая
ягодичная",икроножная,камбаловидная,Опыт,Мышечные группы,Преобладающая мышечная группа,База/изоляция,Тип,Ограничения
Жим гантелей лежа,1,,,3,,,,,,3,5,,,,1,,,,,,,,,,,,,6-18 месяцев,"большая грудная, трицепс, передняя дельта",большая грудная,база,жимовое,"Проблемы с плечами, локтями, запястьями, грудным отделом позвоночника"
Жим гантелей на скамье с наклоном вверх,1,,,3,,,2,,1,,5,,5,,,,,,,,,,,,,,,6-18 месяцев,"большая грудная, малая грудная, передние дельты",большая и малая грудная,"изоляция, формирующее",толчковое,"Проблемы с плечами, локтями, запястьями, грудным отделом позвоночника"
Жим гантелей на скамье с наклоном вниз,1,,,3,,,,,,1,5,,5,,,,,,,,,,,,,,,6-18 месяцев,"большая грудная, малая грудная, передние дельты",большая и малая грудная,"изоляция, формирующее",жимовое,"Проблемы с плечами, локтями, запястьями, грудным отделом позвоночника"
Жим от груди в тренажере сидя,,,1,2,2,2,,,,1,5,,5,,,,,,,,,,,,,,,0-6 месяцев,"большая грудная, малая грудная, дельты, трицепс",грудь,формирующее ,жимовое,"Проблемы с плечами, локтями"
Разведение гантелей лежа,1,,,2,,,,,,,5,,,,,,,,,,,,,,,,,6-18 месяцев,"большая грудная, передняя дельта",большая грудная,изоляция,толчковое,Проблемы с плечами
Разведение гантелей на скамье с наклоном вверх,1,,,2,2,,2,,,,5,,5,,,,,,,,,,,,,,,6-18 месяцев,"большая грудная, малая грудная, дельты, трапеция",большая грудная,изоляция,толчковое,Проблемы с плечами
Сведения в тренажере Peck-Deck,,,1,2,,,,,,,5,,5,,,,,,,,,,,,,,,0-6 месяцев,"большая грудная, малая грудная",грудь,изоляция,разводящее,"Проблемы с плечами, грудным отделом позвоночника"
Сведение в кроссовере через верхние блоки,,,1,2,,,,,,,5,,5,,,,,,,,,,,,,,,18+ месяцев,"большая грудная, малая грудная, дельты",грудь,изоляция,тяговое,"Проблемы с плечами, грудным отделом позвоночника"
Сведение в кроссовере через нижние блоки,,,1,2,,,,,,,5,,5,,,,,,,,,,,,,,,18+ месяцев,"большая грудная, малая грудная, передняя дельта","грудь, передняя дельта",изоляция,тяговое,"Проблемы с плечами, грудным отделом позвоночника"
Скручивание на римском стуле,,,1,,,,,,,,,,,,,5,5,5,,,,,,,,,,0-6 месяцев,"прямая мышца живота, наружные косые мышцы, внутренние косые мышцы",верхняя часть пресса,формирующее ,тяговое,"Проблемы с поясницей, шеей"
Скручивания на скамье с наклоном вниз,,,1,,,,,,,,,,,,,5,5,5,,2,,,,,,,,0-6 месяцев,"прямая мышца живота, наружные косые мышцы, внутренние косые мышцы, прямая мышца бедра","нижняя часть пресса, прямая мышца бедра",формирующее ,тяговое,"Проблемы с поясницей, шеей"
Скручивание на коленях в болочном тренажере(молитва),,,1,,,,,,,,,,,,,5,5,5,5,,,,,,,,,6-18 месяцев,"прямая мышца живота, наружные косые мышцы, внутренние косые мышцы, поперечные мышцы",верхняя часть пресса и косые мышцы живота,изоляция,тяговое,"Проблемы с поясницей, шеей"
Обратные скручивания,,,1,,,,,,,,,,,,,5,5,5,,,,,,,,,,6-18 месяцев,"прямая мышца живота, наружные косые мышцы, внутренние косые мышцы",нижняя часть пресса,база,тяговое,"Проблемы с поясницей, шеей"
Подъемы коленей в висе,,,1,,,,,,,,,,,,,5,5,,,2,,,,,,,,0-6 месяцев,"прямая мышца живота, наружные косые мышцы, прямая мышца бедра","нижняя часть пресса, прямая мышца бедра",база,тяговое,"Проблемы с плечевыми суставами, запястьями, локтями, поясницей. Не рекомендуется при грыжах и протрузиях"
Подъемы ног в висе,,,1,,,,,,,,,,,,,5,,,,2,,,,,,,,0-6 месяцев,"прямая мышца живота, наружные косые мышцы, прямая мышца бедра","нижняя часть пресса, прямая мышца бедра",база,тяговое,"Проблемы с плечевыми суставами, запястьями, локтями, поясницей. Не рекомендуется при грыжах и протрузиях"
Косые скручивания,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,0-6 месяцев,"прямая мышца живота, наружные косые мышцы, внутренние косые мышцы",косые мышцы живота,база,тяговое,Проблемы с поясницей
Приседания со штангой,,1,,,,,,,,,,,,,,,,,,,5,3,3,,,,,0-6 месяцев,"квадрицепс, бицепс бедра, большая ягодичная",квадрицепс,база,жимовое,"Проблемы с коленями, голеностопом, тазобедренными суставами, поясницей"
Приседания в тренажере Смита,,,1,,,,,,,,,,,,,,,,,,5,3,3,,,,,0-6 месяцев,"квадрицепс, бицепс бедра, большая ягодичная",квадрицепс,база,жимовое,"Проблемы с коленями, голеностопом, тазобедренными суставами, поясницей"
Приседания со штангой на груди в тренажере Смита,,,1,,,,,,,,,,,,,,,,,,5,3,3,,,,,6-18 месяцев,"квадрицепс, бицепс бедра, большая ягодичная",квадрицепс,база,жимовое,"Проблемы с коленями, голеностопом, тазобедренными суставами, поясницей"
Гакк-приседания,,,1,,,,,,,,,,,,,,,,,,5,3,3,,,,,6-18 месяцев,"квадрицепс, бицепс бедра, большая ягодичная",боковая сторона квадрицепса,"база, формирующее",жимовое,"Проблемы с коленями, голеностопом, тазобедренными суставами, поясницей"
Жим ногами,,,1,,,,,,,,,,,,,,,,,,5,5,3,,,,,0-6 месяцев,"квадрицепс, бицепс бедра, большая ягодичная","квадрицепс, бицепс бедра",база,жимовое,"Проблемы с коленями, голеностопом, тазобедренными суставами, поясницей"
Выпады со штангой,,1,,,,,,,,,,,,,,,,,,,5,3,2,,,,,6-18 месяцев,"квадрицепс, бицепс бедра, большая ягодичная","квадрицепс, бицепс бедра, большая ягодичная",база,жимовое,"Проблемы с коленями, голеностопом"
Выпады назад,1,1,1,,,,,,,,,,,,,,,,,,5,3,2,,,,,0-6 месяцев,"квадрицепс, бицепс бедра, большая ягодичная","квадрицепс, бицепс бедра, большая ягодичная",база,толчковое,"Проблемы с коленями, голеностопом"
Зашагивания на платформу,,,,,,,,,,,,,,,,,,,,,5,3,5,,,1,,0-6 месяцев,"средняя ягодичная, малая ягодичная, квадрицепс","квадрицепс, средняя ягодичная, малая ягодичная",база,толчковое,"Проблемы с коленями, голеностопом"
Разгибания ног,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,0-6 месяцев,"квадрицепс, бицепс бедра, большая ягодичная","прямая мышца бедра, латеральная мышца бедра",изоляция,жимовое,Проблемы с коленями
Мертвая тяга,1,1,,,,,,,,,,,,,,,,,,,,5,3,,,,,6-18 месяцев,"бицепс бедра, большая ягодичная, квадрицепс","бицепс бедра, большая ягодичная",база,тяговое,"Проблемы с поясницей, коленями, тазобедренными суставами, запястьями, локтями, плечами. Требует хорошей техники выполнения. Не рекомендуется при грыжах и протрузиях"
Гиперэкстензия для мышц бедра,,,1,,,,,,,,,,,,,,,,,,,5,2,,,1,,0-6 месяцев,"бицепс бедра, большая ягодичная",бицепс бедра,"изоляция, формирующее",тяговое,Проблемы с поясницей
Сгибание ног лежа,,,1,,,,,,,,,,,,,,,,,,,5,,,,2,,0-6 месяцев,бицепс бедра,бицепс бедра,изоляция,тяговое,Проблемы с коленями
Сгибания ног стоя,,,1,,,,,,,,,,,,,,,,,,,5,,,,2,,6-18 месяцев,"низ бицепса бедра, икроножная мышца",низ бицепса бедра,изоляция,тяговое,Проблемы с коленями
Сгибания ног сидя,,,1,,,,,,,,,,,,,,,,,,,5,,,,2,,0-6 месяцев,"низ бицепса бедра, икроножная мышца",низ бицепса бедра,изоляция,тяговое,Проблемы с коленями
Подъемы на носки стоя,1,1,,,,,,,,,,,,,,,,,,,,1,,1,1,5,,0-6 месяцев,икроножная мышца,икроножная мышца,база,толчковое,"Проблемы с голеностопом, ахилловым сухожилием"
Подъемы на носки в тренажере для жимов ногами,,,1,,,,,,,,,,,,,,,,,,,,,,,5,5,0-6 месяцев,Низ и внутренняя сторона икроножной мышцы,икроножная мышца,изоляция,толчковое,"Проблемы с голеностопом, ахилловым сухожилием"
Подъемы на носки сидя,,,1,,,,,,,,,,,,,,,,,,,,,,,5,5,0-6 месяцев,Камбаловидная мышца,Камбаловидная мышца,изоляция,толчковое,"Проблемы с голеностопом, ахилловым сухожилием"
Болгарские выпады,1,1,,,,,,,,,,,,,,,,,,,5,3,5,2,2,1,,6-18 месяцев,"квадрицепс, бицепс бедра, большая ягодичная",квадрицепс,база,толчковое,"Проблемы с коленями, голеностопом"
Тяга сумо,1,1,,,,,,,,,,,,5,5,,,,,,5,,5,,,,,6-18 месяцев,"широчайшая мышца спины, верхняя часть спины, предплечья, квадрицепс, большая ягодичная","спина, квадрицепс",база,тяговое,"Проблемы с коленями, тазобедренными суставами, поясницей"
Плие приседания,1,1,,,,,,,,,,,,,,,,,,,3,,5,5,5,1,,6-18 месяцев,"ягодицы, приводящие","ягодицы, приводящие",база,жимовое,"Проблемы с коленями, тазобедренными суставами, поясницей"
Отведение ноги назад в кроссовере,,,1,,,,,,,,,,,,,,,,,,,3,5,,,,,0-6 месяцев,ягодицы,ягодицы,изоляция,толчковое,"Проблемы с коленями, тазобедренными суставами"
Отведение ноги вбок в кроссовере,,,1,,,,,,,,,,,,,,,,,,,2,,5,4,,,0-6 месяцев,"малая ягодичная, средняя ягодичная","малая ягодичная, средняя ягодичная",изоляция,тяговое,"Проблемы с коленями, тазобедренными суставами"
Разведение ног сидя в тренажере,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0-6 месяцев,"малая ягодичная, средняя ягодичная","малая ягодичная, средняя ягодичная",изоляция,толчковое,Проблемы с тазобедренными суставами
Сведение ног сидяв тренажере,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0-6 месяцев,"приводящие, малая ягодичная, средняя ягодичная",приводящие,изоляция,тяговое,Проблемы с тазобедренными суставами
Румынская тяга на одну ногу,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,"квадрицепс, большая ягодичная, бицепс бедра","большая ягодичная, бицепс бедра",база,тяговое,"Проблемы с поясницей, коленями, тазобедренными суставами, запястьями, локтями, плечами. Требует хорошей техники выполнения. Не рекомендуется при грыжах и протрузиях"
Румынская тяга ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,"квадрицепс, большая ягодичная, бицепс бедра","большая ягодичная, бицепс бедра",база,тяговое,"Проблемы с поясницей, коленями, тазобедренными суставами, запястьями, локтями, плечами. Требует хорошей техники выполнения. Не рекомендуется при грыжах и протрузиях"
Ягодичный мост в тренажере,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0-6 месяцев,"ягодицы, бицепс бедра, косые мышцы живота","ягодицы, бицепс бедра",база,жимовое,"Проблемы с поясницей, тазобедренными суставами"
Ягодичный мост со штангой,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,"ягодицы, бицепс бедра, косые мышцы живота","ягодицы, бицепс бедра",база,жимовое,"Проблемы с поясницей, тазобедренными суставами"
Становая тяга,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,"мышцы выпрямляющие позвоночник, квадрицепс, большая ягодичная, бицепс бедра","мышцы выпрямляющие позвоночник, квадрицепс, большая ягодичная",база,тяговое,"Проблемы с поясницей, коленями, тазобедренными суставами, запястьями, локтями, плечами. Требует хорошей техники выполнения. Не рекомендуется при грыжах и протрузиях"
Подтягивания на перекладине,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0-6 месяцев,"широчайшая спины, дельтовидная, бицепс, трапеция, трицепс","широчайшая спины, дельтовидная, бицепс",база,тяговое,"Проблемы с плечевыми суставами, локтями, запястьями"
Подтягивания в гравитроне,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0-6 месяцев,"широчайшая спины, дельтовидная, бицепс, трапеция, трицепс","широчайшая спины, дельтовидная, бицепс",база,тяговое,"Проблемы с плечевыми суставами, локтями, запястьями"
Тяга штанги в наклоне,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,"широчайшая спины, большая круглая, задняя дельта, сгибатели руки","широчайшая спины, большая круглая",база,тяговое,"Проблемы с поясницей, локтями, запястьями, плечами"
Тяга штанги в наклоне обратным хватом,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,"широчайшая спины, большая круглая, задняя дельта, сгибатели руки, предплечье","широчайшая спины, большая круглая",база,тяговое,"Проблемы с поясницей, локтями, запястьями, плечами"
Тяга Т-штанги,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,широчайшие мышцы и мышцы середины спины,широчайшие мышцы и мышцы середины спины,изоляция,тяговое,"Проблемы с поясницей, локтями, запястьями, плечами"
Тяга гантели одной рукой в наклоне,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,"широчайшие и ромбовидные мышцы спины, середина и низ трапеций",широчайшие и ромбовидные мышцы спины,изоляция,тяговое,"Проблемы с поясницей, локтями, запястьями, плечами"
Вертикальная тяга широким хватом,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0-6 месяцев,"верх широчайших мышц спины, трапеций и ромбовидные мышцы","верх широчайших мышц спины, трапеций ",база,тяговое,"Проблемы с поясницей, локтями, запястьями, плечами"
Вертикальная тяга обратным хватом,,,1,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,низ и верх широчайших и ромбовидных мышц,низ и верх широчайших и ромбовидных мышц,база,тяговое,"Проблемы с поясницей, локтями, запястьями, плечами"
Горизонтальная тяга в блочном тренажере,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0-6 месяцев,"низ широчайших мышц спины, ромбовидные мышцы, середина и низ трапеций","низ широчайших мышц спины, ромбовидные мышцы",база,тяговое,"Проблемы с поясницей, локтями, запястьями, плечами"
Пуловер в блочном тренажере стоя,,,1,,,,,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,широчайшие мышцы спины и низ грудных мышц,широчайшие мышцы спины,изоляция,тяговое,"Проблемы с плечами, локтями, запястьями"
